Time [s],Distance [cm],Time [s]
1.022,4.925,0.000
1.077,5.384,0.055
1.131,5.868,0.109
1.184,6.392,0.162
1.239,6.851,0.217
1.293,7.237,0.271
1.346,7.558,0.324
1.400,7.698,0.378
1.454,7.703,0.432
1.508,7.575,0.486
1.561,7.313,0.539
1.615,6.943,0.593
1.669,6.489,0.647
1.723,5.967,0.701
1.776,5.579,0.754
1.829,5.126,0.807
1.884,4.716,0.862
1.937,4.355,0.915
1.991,4.090,0.969
2.044,3.918,1.022
2.099,3.876,1.077
2.152,4.060,1.130
2.206,4.357,1.184
2.259,4.695,1.237
2.314,5.006,1.292
2.367,5.465,1.345
2.421,5.982,1.399
2.476,6.514,1.454
2.530,7.086,1.508
2.583,7.483,1.561
2.637,7.849,1.615
2.692,7.959,1.670
2.745,7.946,1.723
2.799,7.774,1.777
2.852,7.546,1.830
2.907,7.159,1.885
2.960,6.611,1.938
3.013,6.117,1.991
3.067,5.516,2.045
3.121,5.069,2.099
3.175,4.651,2.153
3.228,4.316,2.206
3.281,4.092,2.259
3.336,4.002,2.314
3.389,3.990,2.367
3.443,4.189,2.421
3.496,4.553,2.474
3.551,4.891,2.529
3.605,5.343,2.583
3.658,5.761,2.636
3.713,6.256,2.691
3.767,6.815,2.745
3.820,7.279,2.798
3.874,7.694,2.852
3.929,7.946,2.907
3.982,8.004,2.960
4.036,7.908,3.014
4.089,7.737,3.067
4.144,7.461,3.122
4.197,7.074,3.175
4.251,6.533,3.229
4.304,5.967,3.282
4.358,5.430,3.336
4.412,4.972,3.390
4.465,4.542,3.443
4.519,4.270,3.497
4.573,4.044,3.551
4.627,3.963,3.605
4.680,3.980,3.658
4.734,4.153,3.712
4.788,4.461,3.766
4.842,4.796,3.820
4.895,5.250,3.873
4.950,5.695,3.928
5.004,6.220,3.982
5.057,6.688,4.035
5.111,7.079,4.089
5.166,7.422,4.144
5.219,7.606,4.197
5.273,7.708,4.251
5.326,7.636,4.304
5.381,7.449,4.359
5.434,7.097,4.412
5.488,6.659,4.466
5.541,6.169,4.519
5.596,5.671,4.574
5.649,5.280,4.627
5.702,4.845,4.680
5.756,4.512,4.734
5.810,4.196,4.788
5.864,4.014,4.842
5.917,4.009,4.895
